Region,Customer Segment,Age Range,Season,Distance (Miles),Staffing Level (Proxy),Track Congestion (Proxy),Total Fare Amount,Communication About Status,Cleanliness,Comfort,Wi-Fi,Food & Beverage,Departure Delay (Minutes),Arrival Delay (Minutes),On-time Performance,Overall Satisfaction
West,Business,25-34,Fall,375.9,0.559,0.053,130.93,3.63,3.2,3.41,4.31,2.77,37.1,47.6,2.86,5.0
Northeast,Leisure,65+,Summer,540.8,0.622,0.361,136.06,5.0,4.06,4.05,3.42,2.2,19.4,30.4,3.53,5.0
Northeast,Leisure,25-34,Summer,184.9,0.352,1.0,86.82,4.1,3.82,3.62,3.28,2.3,54.5,56.1,2.64,5.0
Northeast,Leisure,65+,Winter,712.5,0.479,0.628,213.1,2.98,4.39,4.94,1.83,5.0,57.1,63.6,2.26,5.0
West,Leisure,35-44,Spring,246.0,0.2,0.183,119.03,2.98,3.62,3.75,4.45,,27.9,34.9,3.52,5.0
Southeast,Commuter,35-44,Winter,229.1,0.805,0.31,113.33,4.0,4.1,2.84,3.66,3.49,21.3,24.5,3.93,5.0
Midwest,Business,45-54,Fall,112.9,0.417,0.73,88.04,,3.98,3.8,3.81,2.01,58.1,61.2,2.08,5.0
Midwest,Business,25-34,Winter,177.9,0.475,0.855,106.78,3.62,4.18,2.98,2.15,,68.8,82.2,1.14,5.0
West,Leisure,35-44,Fall,259.3,0.824,0.99,119.22,4.02,4.58,4.26,3.74,1.93,53.2,63.4,2.09,5.0
Midwest,Business,65+,Fall,311.8,0.627,0.847,109.91,3.22,3.34,4.21,,3.46,62.5,70.5,1.53,5.0
Midwest,Leisure,25-34,Spring,303.1,0.527,0.499,112.76,4.9,4.28,3.23,3.14,2.29,23.0,28.6,3.75,5.0
West,Leisure,65+,Summer,165.7,0.715,0.153,67.6,4.09,3.85,2.99,2.34,3.86,17.3,23.7,3.92,5.0
Northeast,Business,65+,Summer,485.2,0.661,0.683,150.65,4.14,4.32,3.79,3.25,1.52,64.1,77.4,1.53,5.0
West,Business,18-24,Summer,233.8,0.828,0.053,91.7,4.32,4.9,3.12,2.66,,11.2,14.3,4.59,5.0
Northeast,Business,45-54,Summer,224.4,0.412,0.821,98.97,3.3,2.54,3.04,2.62,,62.5,65.9,1.86,5.0
Midwest,Commuter,25-34,Spring,107.4,0.275,0.576,62.29,3.71,4.47,3.23,4.08,4.43,34.2,37.3,3.34,5.0
West,Commuter,45-54,Summer,330.9,0.466,0.259,85.63,4.63,3.76,4.08,3.33,3.1,25.2,28.8,3.54,5.0
Southwest,Leisure,65+,Fall,216.4,0.692,0.652,71.71,4.08,3.43,2.67,3.25,2.79,35.6,37.2,3.52,5.0
Southwest,Leisure,65+,Spring,186.5,0.2,0.052,92.79,2.97,3.44,3.03,2.23,3.14,17.6,16.8,4.09,5.0
Southeast,Leisure,65+,Spring,84.1,0.2,0.329,54.72,4.37,3.08,5.0,3.11,4.89,22.4,31.1,3.89,5.0
Midwest,Business,25-34,Spring,86.8,0.812,0.487,79.88,4.47,4.31,5.0,3.26,2.92,40.8,37.1,3.18,5.0
Southeast,Commuter,45-54,Fall,276.0,0.728,0.413,105.56,4.54,3.34,4.57,2.56,3.15,14.4,14.6,4.39,5.0
Midwest,Commuter,25-34,Fall,526.6,0.557,0.725,134.02,,4.6,3.7,4.12,2.16,72.8,74.2,1.74,5.0
Midwest,Leisure,65+,Spring,195.9,0.863,0.32,72.65,4.17,4.45,4.29,4.24,2.56,41.8,48.2,2.96,5.0
Southeast,Commuter,25-34,Fall,195.1,0.2,0.948,82.65,4.21,3.84,3.29,2.47,3.44,70.8,70.9,1.65,5.0
Southeast,Business,25-34,Fall,333.3,0.293,0.464,104.14,3.66,2.52,1.69,3.49,3.86,34.0,43.7,2.85,5.0
Southeast,Commuter,18-24,Spring,439.6,0.507,0.861,142.27,4.4,3.06,3.25,1.73,3.37,49.2,57.8,2.33,5.0
Southeast,Business,25-34,Fall,155.7,0.427,0.705,86.72,3.91,3.77,3.3,3.45,3.83,48.2,56.4,2.57,5.0
Northeast,Leisure,25-34,Fall,108.6,0.5,0.782,71.45,,3.83,3.67,,2.2,50.3,49.1,2.79,5.0
West,Leisure,18-24,Fall,212.8,0.855,0.241,93.0,4.16,4.59,4.09,2.52,,27.1,31.6,3.74,5.0
Southwest,Commuter,55-64,Spring,300.6,0.684,0.129,112.64,,2.19,4.86,3.37,3.85,23.6,34.0,3.34,5.0
Northeast,Leisure,55-64,Winter,37.3,0.488,0.234,62.38,3.84,3.39,3.67,3.37,2.67,40.4,46.0,2.89,5.0
Southwest,Leisure,25-34,Winter,170.2,0.864,0.27,71.34,3.67,4.53,3.06,5.0,2.12,19.0,26.8,3.78,5.0
West,Leisure,55-64,Fall,199.3,0.618,0.751,69.12,3.31,3.71,3.55,5.0,3.31,38.1,44.3,2.99,5.0
Southeast,Leisure,35-44,Summer,182.9,0.552,0.304,76.4,3.82,3.6,4.12,,3.19,29.6,33.2,3.59,5.0
Northeast,Commuter,55-64,Summer,78.2,0.674,0.643,65.68,4.56,2.97,3.62,2.77,2.96,37.2,41.1,3.34,5.0
Northeast,Leisure,35-44,Winter,170.6,0.2,0.452,69.9,3.26,4.34,3.0,3.33,4.47,52.7,50.8,2.62,5.0
Northeast,Leisure,45-54,Fall,201.4,0.849,0.214,94.79,4.19,3.73,4.12,4.32,4.86,33.1,35.6,3.33,5.0
West,Business,35-44,Winter,121.3,0.835,0.48,58.06,3.87,4.67,2.95,2.05,4.03,18.8,26.9,3.83,5.0
West,Business,25-34,Summer,260.5,0.412,0.556,115.36,,4.69,3.01,,3.47,37.2,46.1,2.97,5.0
Northeast,Leisure,45-54,Fall,362.6,0.643,0.178,121.85,4.83,4.71,3.98,2.42,4.37,26.5,28.9,3.86,5.0
Southwest,Leisure,55-64,Winter,370.3,1.0,0.0,120.8,5.0,4.08,3.25,4.11,3.34,0.0,8.8,4.62,5.0
Northeast,Leisure,55-64,Summer,141.7,0.465,0.636,67.68,2.93,3.54,3.39,3.88,2.92,26.7,26.0,3.8,5.0
Midwest,Leisure,35-44,Fall,297.2,0.655,0.674,107.41,4.08,3.6,3.71,3.65,2.61,58.8,63.7,2.4,5.0
West,Leisure,35-44,Spring,282.4,0.625,0.782,117.52,3.03,5.0,3.66,4.16,,57.8,69.4,1.93,5.0
Southeast,Leisure,55-64,Winter,593.9,0.778,0.138,169.63,,3.86,3.06,3.25,3.99,25.3,29.9,3.76,5.0
Northeast,Business,18-24,Spring,298.1,0.426,0.164,101.57,3.91,4.45,3.86,3.04,1.73,17.8,18.7,3.92,5.0
Midwest,Commuter,18-24,Fall,308.8,0.426,0.637,114.94,3.71,4.1,2.99,3.51,2.55,55.4,62.2,2.18,4.94
West,Commuter,35-44,Summer,405.4,0.412,0.655,113.12,3.47,3.56,4.78,4.57,2.76,36.8,46.8,3.06,5.0
Southeast,Leisure,25-34,Spring,92.9,0.424,0.29,69.07,2.95,3.66,3.35,3.57,1.82,20.2,20.8,4.08,5.0
Northeast,Leisure,35-44,Summer,230.0,0.2,0.751,100.97,2.7,4.41,3.99,3.03,2.69,64.0,73.3,1.69,5.0
Northeast,Commuter,18-24,Winter,545.6,0.877,0.456,163.32,4.85,4.06,4.28,3.73,3.26,21.4,31.4,3.3,5.0
Midwest,Business,45-54,Spring,552.0,0.318,0.393,185.86,,3.49,3.35,4.33,3.99,24.2,36.3,3.35,5.0
Midwest,Business,45-54,Fall,170.6,0.455,0.616,80.17,3.57,3.34,2.96,2.93,2.64,44.9,48.5,3.01,5.0
West,Leisure,55-64,Spring,537.1,0.882,0.01,162.23,3.6,4.23,4.28,,3.27,30.5,40.2,3.19,5.0
West,Leisure,45-54,Fall,187.1,0.634,0.851,84.12,3.49,3.61,2.69,2.89,1.78,52.4,59.1,2.41,5.0
West,Business,35-44,Summer,266.2,0.268,0.36,125.31,4.26,4.09,2.69,3.82,1.96,55.0,57.1,2.38,5.0
West,Business,65+,Fall,68.8,0.214,0.383,61.9,3.24,5.0,3.99,2.52,1.33,50.4,57.0,2.39,5.0
Southeast,Leisure,55-64,Summer,472.4,0.686,0.288,128.99,4.01,4.25,3.57,3.86,4.02,56.2,69.5,1.88,5.0
Midwest,Commuter,45-54,Spring,181.2,0.47,0.838,82.32,3.46,4.92,3.15,2.03,2.8,54.2,61.8,2.3,5.0
Southeast,Business,25-34,Fall,80.1,0.444,0.075,76.43,3.36,3.39,3.28,3.06,3.29,9.6,20.3,4.2,5.0
Southeast,Business,45-54,Spring,204.5,0.72,0.0,100.28,5.0,4.37,3.16,3.34,3.62,0.0,5.8,4.85,5.0
West,Leisure,45-54,Spring,28.8,0.714,0.432,49.3,,4.71,5.0,4.77,3.87,6.6,7.7,4.6,5.0
Southwest,Business,45-54,Summer,324.8,0.2,0.598,117.84,3.36,4.53,4.27,3.9,4.84,44.9,53.3,2.63,5.0
West,Business,55-64,Fall,422.9,0.568,0.389,135.85,3.97,4.65,3.09,3.0,3.08,60.9,67.7,1.77,5.0
Midwest,Leisure,65+,Winter,111.0,0.866,0.273,73.63,4.75,4.04,3.54,3.0,2.53,20.6,22.4,4.03,5.0
Midwest,Business,65+,Fall,108.2,0.264,1.0,76.51,2.32,4.27,4.0,2.57,3.68,53.7,52.5,2.34,5.0
Midwest,Business,45-54,Spring,311.0,0.382,0.665,115.49,3.85,3.18,2.93,2.29,5.0,37.7,49.3,2.55,5.0
Northeast,Commuter,65+,Spring,333.5,0.821,0.486,120.72,5.0,4.97,3.36,4.67,2.68,51.4,54.1,2.6,5.0
Southeast,Leisure,65+,Winter,146.1,0.581,0.701,69.63,4.73,3.32,3.47,2.66,2.4,30.4,30.1,3.73,5.0
Midwest,Commuter,18-24,Winter,121.7,0.949,0.179,78.26,4.49,4.83,3.17,4.84,1.0,0.0,1.6,4.75,5.0
Northeast,Business,45-54,Summer,380.3,0.365,0.0,133.5,4.16,4.41,4.38,3.33,1.21,20.0,23.2,4.04,5.0
West,Leisure,25-34,Summer,74.2,0.2,0.406,46.06,2.65,4.32,3.06,3.07,4.32,42.7,41.6,3.11,5.0
Northeast,Leisure,25-34,Winter,164.5,0.824,0.008,96.51,4.55,5.0,3.67,3.51,3.01,8.5,10.4,4.7,5.0
Northeast,Leisure,25-34,Fall,119.6,0.714,0.151,57.53,3.51,4.59,3.8,4.34,2.12,39.1,44.7,3.21,5.0
West,Leisure,35-44,Summer,308.2,0.55,0.255,102.79,3.9,3.08,4.78,2.61,3.11,9.3,9.7,4.23,5.0
Northeast,Business,18-24,Winter,126.1,0.732,0.096,60.55,,4.32,3.66,,5.0,14.9,15.3,4.6,5.0
West,Business,25-34,Fall,409.8,0.507,0.241,134.2,,2.72,5.0,3.25,3.11,18.6,28.0,3.88,5.0
Southwest,Leisure,18-24,Winter,160.5,0.321,0.71,85.95,3.09,3.71,3.34,3.48,4.79,46.0,51.2,2.79,5.0
Northeast,Commuter,45-54,Summer,276.2,0.687,0.418,92.61,4.9,3.69,3.55,3.17,2.29,11.4,27.3,3.72,5.0
Southwest,Leisure,65+,Summer,127.8,0.51,0.433,67.21,3.17,4.24,4.31,2.97,4.42,48.7,57.1,2.51,5.0
Southwest,Business,65+,Fall,245.6,0.271,0.435,98.38,3.45,3.24,4.93,3.59,2.55,25.6,37.1,3.38,5.0
West,Commuter,35-44,Fall,138.9,0.852,0.205,69.86,4.28,3.55,3.57,2.32,2.48,25.3,22.0,4.14,5.0
West,Commuter,25-34,Fall,103.9,0.512,0.678,52.88,2.91,4.16,4.52,4.35,2.26,39.9,43.3,3.11,5.0
Southwest,Business,55-64,Winter,332.4,1.0,0.394,122.88,5.0,4.8,4.39,3.55,,16.3,25.5,3.94,5.0
Midwest,Business,25-34,Spring,125.4,0.722,0.637,60.99,3.83,3.96,3.18,2.89,4.02,37.1,34.7,3.55,5.0
Southeast,Leisure,65+,Spring,126.9,0.72,0.436,62.39,3.54,5.0,3.7,3.64,2.71,21.9,23.5,3.65,5.0
Southwest,Leisure,55-64,Spring,232.7,0.836,0.782,97.79,3.27,3.81,3.72,,4.13,57.2,65.1,2.03,5.0
West,Leisure,35-44,Winter,257.6,0.59,0.0,77.98,5.0,4.3,2.95,,,3.7,12.4,4.45,5.0
Midwest,Leisure,18-24,Winter,101.2,0.752,0.0,72.75,4.23,4.18,3.84,3.47,3.08,27.1,34.2,3.41,5.0
Southwest,Leisure,18-24,Fall,293.7,0.305,0.661,88.04,3.4,3.55,3.65,,2.58,52.6,59.0,2.51,5.0
Midwest,Leisure,45-54,Fall,132.5,0.37,1.0,90.85,3.8,4.57,3.87,3.37,4.7,64.7,65.2,2.31,5.0
West,Commuter,35-44,Summer,83.4,0.84,0.0,63.81,3.75,3.49,3.8,2.54,3.63,0.0,4.1,4.84,5.0
West,Commuter,55-64,Summer,179.3,1.0,0.175,78.23,5.0,2.85,3.33,3.95,3.46,13.9,18.3,4.2,5.0
Northeast,Commuter,45-54,Spring,177.6,0.579,0.466,88.76,,3.81,5.0,3.86,2.86,22.5,27.9,3.76,5.0
Northeast,Business,35-44,Summer,279.5,0.524,0.064,94.61,3.29,3.71,3.81,2.01,2.58,12.5,10.6,4.29,5.0
Midwest,Leisure,25-34,Fall,606.6,0.557,0.41,152.71,3.41,4.52,4.58,2.33,2.21,41.4,53.6,2.46,5.0
Midwest,Leisure,35-44,Spring,230.2,0.594,0.352,105.58,3.54,3.15,3.98,,4.31,0.0,6.3,4.59,5.0
Midwest,Business,25-34,Summer,302.5,0.351,0.637,104.25,3.44,4.09,4.66,2.91,1.62,61.2,67.3,2.1,5.0
Northeast,Business,45-54,Fall,67.3,0.715,0.491,66.72,3.43,4.2,3.17,3.09,2.82,35.9,36.8,3.29,5.0
Midwest,Leisure,45-54,Fall,421.0,0.549,0.37,134.51,3.0,4.07,3.6,3.25,3.9,44.2,52.0,2.65,5.0
Midwest,Business,55-64,Winter,198.2,1.0,0.0,85.85,,4.73,3.49,2.99,1.69,7.8,8.3,4.6,5.0
Midwest,Business,35-44,Winter,88.6,0.809,0.0,53.27,4.6,3.99,3.34,2.01,3.32,0.0,5.2,4.73,5.0
Southwest,Leisure,25-34,Winter,411.8,0.61,0.584,141.07,4.23,3.94,3.87,2.39,2.34,70.0,77.1,1.85,5.0
Southwest,Leisure,55-64,Winter,203.6,0.713,0.133,93.1,4.89,4.23,3.54,2.86,3.17,3.3,0.0,5.0,5.0
Southwest,Leisure,45-54,Summer,373.4,0.766,0.112,124.91,,3.92,2.73,2.99,,3.0,8.1,4.85,5.0
West,Business,55-64,Spring,644.2,0.423,0.16,202.86,4.1,3.0,3.42,2.64,1.06,29.9,39.7,3.11,5.0
Southwest,Commuter,45-54,Winter,73.0,0.2,0.463,56.99,2.64,3.45,3.29,,3.61,26.1,26.2,3.65,5.0
Midwest,Business,65+,Winter,128.8,0.323,0.292,90.06,4.12,3.61,4.21,2.76,2.18,18.9,18.9,4.28,5.0
Southwest,Business,25-34,Summer,335.5,0.585,0.273,138.76,,3.56,2.66,4.2,2.62,33.7,40.0,3.22,5.0
Northeast,Commuter,35-44,Fall,212.3,0.376,0.0,105.17,,3.6,3.25,2.71,3.12,21.0,26.0,3.93,5.0
Southeast,Leisure,55-64,Summer,31.4,0.231,0.703,53.96,,3.82,3.04,2.98,3.38,32.3,29.8,3.93,5.0
Midwest,Business,25-34,Summer,166.9,0.326,0.871,70.18,3.08,3.6,4.12,4.3,3.47,52.2,55.8,2.52,5.0
West,Business,55-64,Winter,184.5,0.671,0.214,95.93,,4.45,3.32,2.8,3.85,35.5,41.8,3.18,5.0
Southwest,Business,35-44,Spring,203.8,0.702,0.574,90.28,4.84,4.47,4.44,5.0,1.0,22.8,25.4,3.81,5.0
Northeast,Leisure,25-34,Fall,125.6,0.476,0.324,78.98,3.71,2.41,3.61,3.97,3.53,35.6,40.7,3.19,5.0
Midwest,Commuter,18-24,Fall,482.7,0.512,0.449,169.4,2.75,3.0,4.0,,3.11,42.5,57.4,2.46,5.0
Southeast,Commuter,55-64,Fall,67.4,0.635,0.097,55.47,4.57,2.47,4.46,3.15,2.63,0.8,0.0,5.0,5.0
Southwest,Leisure,55-64,Summer,267.5,0.743,0.324,90.84,3.74,3.81,2.88,4.44,3.38,7.9,14.4,4.39,5.0
West,Leisure,25-34,Spring,147.2,0.501,0.667,83.31,4.32,3.65,3.48,2.68,3.93,39.9,51.0,2.47,5.0
Midwest,Leisure,25-34,Summer,140.2,0.675,0.197,74.31,4.44,4.03,4.0,3.0,2.35,7.2,10.9,4.74,5.0
Midwest,Business,25-34,Fall,446.2,0.901,0.222,164.07,5.0,4.56,3.91,,4.44,27.3,32.9,3.53,5.0
Southeast,Business,25-34,Winter,178.2,0.98,0.318,82.57,5.0,4.06,2.89,3.16,4.23,37.5,43.0,3.3,5.0
Midwest,Leisure,55-64,Fall,268.4,0.998,0.0,101.9,5.0,3.74,4.29,3.13,3.53,0.0,4.7,4.67,5.0
West,Commuter,25-34,Fall,348.8,0.598,0.195,125.11,,3.9,3.71,2.79,2.02,27.4,29.3,3.61,5.0
Southwest,Leisure,25-34,Fall,218.3,0.516,0.498,94.3,,3.56,3.74,1.71,5.0,27.9,31.6,3.55,5.0
Midwest,Business,18-24,Summer,449.8,0.373,0.444,117.72,3.61,2.9,3.46,4.02,3.33,24.1,28.5,3.66,5.0
Southeast,Leisure,45-54,Spring,82.0,0.615,0.95,52.88,2.79,4.48,1.46,3.22,,56.3,51.4,2.74,5.0
Northeast,Business,45-54,Fall,278.3,0.633,0.0,123.44,3.72,4.17,4.07,4.21,3.23,1.2,10.2,4.7,5.0
Northeast,Business,45-54,Winter,610.3,0.647,0.284,178.91,,4.79,4.11,3.2,3.63,46.2,49.1,3.0,5.0
Northeast,Leisure,45-54,Fall,264.3,0.548,0.754,102.01,2.38,3.13,3.37,2.91,3.94,51.4,62.2,2.13,4.94
Southeast,Leisure,65+,Spring,55.8,0.554,0.773,52.93,3.18,2.91,2.63,2.71,3.09,55.4,58.7,2.27,5.0
West,Commuter,35-44,Summer,284.2,0.632,0.0,94.27,3.58,3.35,3.31,3.9,2.01,16.8,28.4,3.84,5.0
Midwest,Business,55-64,Spring,494.0,1.0,0.0,144.88,5.0,4.34,4.5,2.86,4.13,18.3,34.8,3.28,5.0
Southeast,Commuter,45-54,Winter,168.3,0.331,0.511,73.25,3.28,4.28,3.31,3.49,2.33,60.0,67.9,2.05,5.0
Northeast,Business,18-24,Fall,166.9,0.2,0.681,73.06,2.83,3.87,3.58,3.14,,50.4,52.0,2.62,5.0
Southeast,Business,55-64,Summer,327.6,0.908,0.247,124.07,5.0,4.14,3.54,2.6,3.12,12.9,17.0,4.17,5.0
West,Leisure,45-54,Summer,293.1,0.2,0.314,124.51,3.31,4.21,3.78,2.79,2.63,22.1,28.4,3.3,5.0
Southeast,Business,45-54,Winter,223.3,0.39,0.816,106.55,3.3,3.52,2.7,3.18,3.42,48.6,57.1,2.47,5.0
West,Leisure,25-34,Fall,131.8,0.397,0.447,80.58,3.49,4.43,3.48,2.97,3.59,16.9,27.1,3.96,5.0
West,Leisure,35-44,Fall,156.5,0.798,0.0,88.88,4.94,5.0,4.51,4.94,2.74,0.0,0.0,4.82,5.0
Northeast,Leisure,65+,Fall,106.4,0.766,0.281,69.6,3.9,3.35,3.09,3.57,3.26,20.1,25.4,3.9,5.0
Southwest,Leisure,25-34,Winter,50.9,0.796,0.419,54.63,4.01,3.85,3.55,3.22,2.72,12.0,13.2,4.48,5.0
West,Commuter,18-24,Winter,421.2,0.346,0.734,131.48,4.09,2.94,4.34,2.87,3.76,65.1,73.7,1.61,5.0
Midwest,Commuter,25-34,Spring,338.1,0.685,0.492,119.59,4.0,3.36,4.23,3.14,3.58,26.5,35.9,3.45,5.0
Northeast,Business,35-44,Winter,318.4,0.566,0.191,123.97,3.71,4.12,3.99,2.82,3.76,27.9,24.0,4.05,5.0
West,Leisure,55-64,Summer,314.9,1.0,0.439,106.3,3.78,3.09,4.07,2.8,2.94,25.8,32.2,3.58,5.0
West,Commuter,45-54,Spring,188.2,0.619,0.384,85.67,3.92,3.44,3.95,3.79,3.36,42.7,41.5,3.21,5.0
Midwest,Business,65+,Summer,172.4,0.486,1.0,77.22,3.44,4.48,3.48,4.43,3.56,30.8,37.2,3.29,5.0
Midwest,Leisure,35-44,Fall,89.2,0.896,0.0,68.44,4.13,4.18,4.54,3.1,3.85,13.7,16.8,4.37,5.0
Northeast,Business,35-44,Summer,354.9,0.821,1.0,144.67,3.47,4.47,3.42,3.67,3.76,62.4,76.3,1.31,5.0
West,Business,25-34,Spring,816.7,0.541,0.069,219.29,4.12,3.09,2.97,2.78,3.0,26.1,48.4,2.94,5.0
Midwest,Leisure,25-34,Fall,276.9,0.708,0.214,106.56,3.96,3.99,2.74,3.44,2.11,0.0,3.1,5.0,5.0
Northeast,Business,55-64,Spring,385.0,0.268,0.76,147.95,3.66,4.87,3.15,,3.51,55.7,64.5,1.98,5.0
Southwest,Business,18-24,Fall,385.9,0.393,0.299,123.46,3.21,3.4,3.18,2.54,3.49,46.7,60.8,2.15,5.0
West,Leisure,25-34,Fall,512.7,0.562,0.608,136.02,4.22,3.59,3.17,2.55,2.12,31.4,43.5,3.28,5.0
West,Leisure,65+,Fall,120.2,0.343,0.206,70.99,4.1,4.12,2.78,3.1,3.83,12.5,17.8,4.25,5.0
Southeast,Business,45-54,Summer,68.3,0.54,0.464,63.24,3.92,3.33,3.92,2.33,3.25,27.1,35.1,3.19,5.0
Northeast,Business,18-24,Spring,244.0,0.448,0.621,102.63,,4.25,2.97,1.42,2.97,47.1,57.9,2.36,5.0
West,Commuter,55-64,Spring,199.4,0.767,0.204,102.54,5.0,2.91,4.11,2.29,,15.3,20.1,3.84,5.0
West,Commuter,35-44,Summer,776.6,0.601,0.482,214.75,4.38,2.45,4.18,3.15,3.96,44.3,64.3,2.07,5.0
Midwest,Business,55-64,Fall,107.5,0.914,0.205,92.46,3.79,4.25,5.0,2.81,4.59,0.0,5.9,4.73,5.0
Southwest,Business,45-54,Fall,605.1,0.946,0.22,167.96,3.74,3.48,3.47,2.99,3.14,34.8,53.8,2.67,5.0
Midwest,Business,18-24,Summer,200.6,0.827,0.204,86.01,,3.67,3.64,3.62,2.96,14.3,18.9,4.15,5.0
Midwest,Business,25-34,Spring,98.6,0.506,0.854,57.74,3.89,4.38,3.13,2.56,3.65,59.7,67.0,2.23,5.0
Northeast,Leisure,25-34,Spring,541.1,0.546,0.343,148.26,3.8,4.25,2.84,3.22,1.9,23.2,32.7,3.55,5.0
Northeast,Business,55-64,Winter,121.6,0.599,0.0,92.1,3.79,3.16,3.39,5.0,3.9,2.8,7.4,4.38,5.0
Southeast,Business,35-44,Winter,386.4,0.536,0.0,123.79,3.81,4.18,3.12,3.01,1.89,25.3,36.8,3.43,5.0
West,Business,55-64,Winter,248.4,0.728,0.0,96.51,4.33,3.78,2.89,3.23,1.91,19.8,27.8,3.77,5.0
Northeast,Commuter,35-44,Fall,603.9,0.635,0.699,159.72,,4.17,3.86,3.59,4.53,55.4,69.0,1.87,5.0
Southeast,Business,35-44,Summer,435.7,1.0,0.223,144.9,4.01,4.09,3.05,2.82,1.33,5.6,14.5,4.51,5.0
Midwest,Leisure,25-34,Winter,197.3,0.722,0.054,88.57,3.8,3.06,4.11,2.91,4.32,12.1,19.2,4.26,5.0
Northeast,Leisure,25-34,Summer,542.7,0.722,0.705,159.64,2.66,3.53,4.32,3.24,,47.5,60.7,2.14,5.0
Northeast,Leisure,35-44,Winter,297.9,0.833,0.896,96.8,2.66,2.57,3.14,,3.47,40.9,47.6,2.9,5.0
Midwest,Leisure,45-54,Spring,227.1,0.386,0.045,85.06,3.98,3.9,4.59,2.51,3.62,16.6,24.2,4.14,5.0
Southeast,Business,65+,Spring,245.1,0.735,0.0,118.2,4.63,4.21,4.0,3.84,1.73,0.0,0.0,5.0,5.0
Southwest,Leisure,25-34,Winter,395.4,0.615,0.002,128.91,4.03,3.48,3.63,4.58,2.68,32.9,42.7,2.88,5.0
West,Leisure,45-54,Summer,190.9,0.457,0.661,81.35,4.71,3.76,2.39,,3.41,29.8,27.1,3.84,5.0
Northeast,Leisure,25-34,Winter,157.4,0.578,0.363,79.49,2.91,3.3,2.47,3.61,3.41,36.3,36.1,3.33,5.0
West,Business,55-64,Spring,133.7,0.65,0.349,85.33,2.63,4.68,4.8,3.25,3.53,20.2,24.4,3.91,5.0
West,Business,18-24,Spring,274.6,0.634,0.413,120.17,3.33,3.15,4.61,3.07,3.42,30.6,36.1,3.23,5.0
West,Leisure,45-54,Summer,140.3,0.671,0.188,90.12,2.8,3.75,4.82,3.61,,2.4,0.0,5.0,5.0
Southwest,Leisure,25-34,Winter,398.8,0.57,0.104,133.62,3.8,3.11,4.97,,2.01,12.4,13.1,4.32,5.0
Southwest,Leisure,25-34,Spring,188.0,0.558,0.676,72.81,3.9,4.02,4.63,3.46,3.43,43.4,46.0,3.05,5.0
Southwest,Leisure,45-54,Fall,311.9,0.873,0.014,96.51,4.64,4.66,3.93,4.22,2.15,8.3,7.4,4.87,5.0
Southwest,Leisure,35-44,Spring,450.2,0.426,0.326,136.88,4.31,2.57,4.02,3.21,2.76,25.1,28.7,3.73,5.0
Northeast,Leisure,35-44,Fall,521.4,0.2,0.744,144.38,3.24,4.09,3.08,3.4,4.29,83.3,91.5,1.0,5.0
West,Leisure,25-34,Spring,257.5,0.683,0.661,108.73,3.37,4.92,3.87,2.87,1.73,51.1,59.9,2.19,5.0
Midwest,Commuter,65+,Fall,45.3,0.881,0.667,51.06,3.64,4.12,4.29,3.42,3.06,38.5,34.8,3.46,5.0
West,Business,25-34,Winter,47.8,0.622,0.614,49.27,4.09,3.51,4.22,3.07,3.91,26.7,19.1,4.19,5.0
Southeast,Commuter,45-54,Fall,392.6,0.554,0.01,137.95,2.96,3.85,3.58,3.41,3.69,24.0,37.2,3.25,5.0
Northeast,Leisure,55-64,Spring,115.7,0.947,0.592,59.38,2.52,3.75,2.36,2.1,3.46,29.9,35.7,3.37,5.0
Midwest,Leisure,45-54,Fall,182.4,0.735,0.379,81.7,4.3,5.0,2.66,2.46,2.54,17.8,22.9,4.06,5.0
Midwest,Commuter,35-44,Summer,427.0,0.479,0.447,142.82,3.75,4.34,3.98,4.2,4.28,37.3,45.7,3.1,5.0
Midwest,Leisure,45-54,Summer,158.7,0.738,0.267,59.46,4.81,4.51,3.37,4.48,2.05,24.3,35.9,3.38,5.0
Southeast,Business,18-24,Winter,89.5,0.332,1.0,78.22,3.85,5.0,4.07,1.75,3.69,54.3,57.4,2.51,5.0
Southeast,Commuter,45-54,Summer,186.2,0.286,1.0,100.36,3.45,4.55,2.73,2.66,3.2,51.1,55.1,2.52,5.0
Midwest,Business,35-44,Summer,348.8,0.709,0.85,136.8,3.83,3.88,4.67,,2.43,46.2,52.5,2.68,5.0
Southeast,Leisure,55-64,Fall,156.7,0.597,0.479,87.15,3.33,3.91,3.02,3.49,2.77,41.7,46.6,2.8,5.0
West,Business,55-64,Spring,320.6,1.0,0.124,114.16,4.6,5.0,4.83,3.42,4.83,0.5,4.0,4.88,5.0
Northeast,Leisure,25-34,Summer,91.6,0.503,1.0,75.89,,3.41,2.56,3.75,2.05,62.1,68.4,2.13,5.0
Southeast,Leisure,18-24,Winter,131.0,0.354,0.267,79.35,4.09,3.67,4.03,2.13,1.49,12.8,20.6,4.13,5.0
Southeast,Leisure,35-44,Spring,188.0,0.513,0.676,56.64,,3.25,3.0,3.52,2.53,62.8,71.7,1.84,5.0
Midwest,Commuter,45-54,Spring,460.1,1.0,0.389,138.61,4.39,3.01,3.79,,3.57,27.2,36.2,3.24,5.0
Midwest,Business,35-44,Winter,170.0,0.559,0.807,73.34,3.44,3.35,4.42,2.65,4.39,43.3,48.2,2.88,5.0
